file,symbol
01_Kernel.md,app
01_Kernel.md,delta
01_Kernel.md,eqW
01_Kernel.md,integrate
01_Kernel.md,merge
03_Termination_KO7.md,app
03_Termination_KO7.md,appearing
03_Termination_KO7.md,apply
03_Termination_KO7.md,delta
03_Termination_KO7.md,deltaFlag
03_Termination_KO7.md,deltaFlag_app
03_Termination_KO7.md,deltaFlag_eqW
03_Termination_KO7.md,deltaFlag_integrate
03_Termination_KO7.md,deltaFlag_merge
03_Termination_KO7.md,deltaFlag_rec_delta
03_Termination_KO7.md,deltaFlag_rec_zero
03_Termination_KO7.md,deltaFlag_void
03_Termination_KO7.md,delta_subst_drop_rec_succ
03_Termination_KO7.md,delta_subst_drop_rec_zero
03_Termination_KO7.md,dm_drop_R_rec_succ
03_Termination_KO7.md,dm_drop_R_rec_zero
03_Termination_KO7.md,drop_R_eq_diff
03_Termination_KO7.md,drop_R_eq_refl_zero
03_Termination_KO7.md,drop_R_int_delta
03_Termination_KO7.md,drop_R_merge_cancel_zero
03_Termination_KO7.md,drop_R_merge_void_left_zero
03_Termination_KO7.md,drop_R_merge_void_right_zero
03_Termination_KO7.md,drop_R_rec_succ
03_Termination_KO7.md,drop_R_rec_zero
03_Termination_KO7.md,eqW
03_Termination_KO7.md,integrate
03_Termination_KO7.md,kappaM
03_Termination_KO7.md,kappaM_eq_diff
03_Termination_KO7.md,kappaM_eq_refl
03_Termination_KO7.md,kappaM_int_delta
03_Termination_KO7.md,kappaM_merge_cancel
03_Termination_KO7.md,kappaM_merge_void_left
03_Termination_KO7.md,kappaM_merge_void_right
03_Termination_KO7.md,kappaM_rec_zero
03_Termination_KO7.md,merge
03_Termination_KO7.md,merge_cancel
03_Termination_KO7.md,mpo_drop_R_eq_diff
03_Termination_KO7.md,mpo_drop_R_eq_refl
03_Termination_KO7.md,mpo_drop_R_int_delta
03_Termination_KO7.md,mpo_drop_R_merge_cancel
03_Termination_KO7.md,mpo_drop_R_merge_void_left
03_Termination_KO7.md,mpo_drop_R_merge_void_right
03_Termination_KO7.md,mpo_drop_R_rec_zero
03_Termination_KO7.md,mpo_measure_decreases
03_Termination_KO7.md,muDrop
03_Termination_KO7.md,mu_lt_eq_diff
03_Termination_KO7.md,mu_lt_merge_cancel
03_Termination_KO7.md,mu_lt_merge_void_left
03_Termination_KO7.md,mu_lt_merge_void_right
03_Termination_KO7.md,mu_void_lt_eq_refl
03_Termination_KO7.md,mu_void_lt_integrate_delta
03_Termination_KO7.md,multiset
03_Termination_KO7.md,multisets
03_Termination_KO7.md,rec
03_Termination_KO7.md,rec_succ
03_Termination_KO7.md,rec_zero
03_Termination_KO7.md,recursion
03_Termination_KO7.md,wf_Lex3
03_Termination_KO7.md,wf_LexDM
03_Termination_KO7.md,wf_LexNu3m
03_Termination_KO7.md,wf_SafeStepMPORev
03_Termination_KO7.md,wf_SafeStepRev
03_Termination_KO7.md,wf_StepGuardedRev
03_Termination_KO7.md,wf_StepRev_KO7_Safe
03_Termination_KO7.md,wf_StepRev_MPO_Safe
03_Termination_KO7.md,wf_dm
03_Termination_KO7.md,wf_measure
04_Normalize_Safe.md,acc_SafeStepRev
04_Normalize_Safe.md,apply
04_Normalize_Safe.md,exists_nf_reachable
04_Normalize_Safe.md,must
04_Normalize_Safe.md,norm_nf_safe
04_Normalize_Safe.md,normalize
04_Normalize_Safe.md,normalizeSafe
04_Normalize_Safe.md,normalizeSafePack
04_Normalize_Safe.md,normalizeSafe_eq_self_of_nf
04_Normalize_Safe.md,normalizeSafe_idempotent
04_Normalize_Safe.md,normalizeSafe_sound
04_Normalize_Safe.md,normalizeSafe_total
04_Normalize_Safe.md,normalizer
04_Normalize_Safe.md,normalizes
04_Normalize_Safe.md,rec
04_Normalize_Safe.md,recurse
04_Normalize_Safe.md,to_norm_safe
04_Normalize_Safe.md,to_norm_safe_head_or_refl
04_Normalize_Safe.md,wf_Lex3
04_Normalize_Safe.md,wf_SafeStepRev
05_SafeStep_Ctx.md,app
05_SafeStep_Ctx.md,appL
05_SafeStep_Ctx.md,appR
05_SafeStep_Ctx.md,applicable
05_SafeStep_Ctx.md,applied
05_SafeStep_Ctx.md,applies
05_SafeStep_Ctx.md,apply
05_SafeStep_Ctx.md,delta
05_SafeStep_Ctx.md,deltaFlag
05_SafeStep_Ctx.md,eqW
05_SafeStep_Ctx.md,integrate
05_SafeStep_Ctx.md,kappaM
05_SafeStep_Ctx.md,merge
05_SafeStep_Ctx.md,mergeL
05_SafeStep_Ctx.md,mergeR
05_SafeStep_Ctx.md,merges
05_SafeStep_Ctx.md,normalizeSafe
05_SafeStep_Ctx.md,normalizes
05_SafeStep_Ctx.md,rec
05_SafeStep_Ctx.md,recB
05_SafeStep_Ctx.md,recN
05_SafeStep_Ctx.md,recS
05_SafeStep_Ctx.md,to_norm_safe
06_Confluence_Safe.md,app
06_Confluence_Safe.md,applicable
06_Confluence_Safe.md,applies
06_Confluence_Safe.md,apply
06_Confluence_Safe.md,delta
06_Confluence_Safe.md,deltaFlag
06_Confluence_Safe.md,eqW
06_Confluence_Safe.md,eqWReflRootPeakBlocked_of_kappa_zero
06_Confluence_Safe.md,integrate
06_Confluence_Safe.md,kappaM
06_Confluence_Safe.md,merge
06_Confluence_Safe.md,must
06_Confluence_Safe.md,normalizeSafe
06_Confluence_Safe.md,rec
07_Newman_Safe.md,acc_SafeStepRev
07_Newman_Safe.md,newman_safe
07_Newman_Safe.md,norm_nf_safe
07_Newman_Safe.md,normalize
07_Newman_Safe.md,normalizeSafe
07_Newman_Safe.md,normalizeSafe_eq_of_star_of_loc
07_Newman_Safe.md,normalizeSafe_unique_of_loc
07_Newman_Safe.md,normalizer
07_Newman_Safe.md,recursion
07_Newman_Safe.md,to_norm_safe
10_Operational_Incompleteness.md,appear
10_Operational_Incompleteness.md,apply
10_Operational_Incompleteness.md,appropriate
10_Operational_Incompleteness.md,delta
10_Operational_Incompleteness.md,delta_rhs_add_s
10_Operational_Incompleteness.md,delta_rhs_mul_s
10_Operational_Incompleteness.md,delta_star_add_s_auto
10_Operational_Incompleteness.md,delta_star_cases_add_s
10_Operational_Incompleteness.md,delta_star_cases_mul_s
10_Operational_Incompleteness.md,delta_star_mul_s_auto
10_Operational_Incompleteness.md,delta_subst_preserves_r2
10_Operational_Incompleteness.md,delta_subst_preserves_r4
10_Operational_Incompleteness.md,delta_top_cases_add_s
10_Operational_Incompleteness.md,delta_top_cases_mul_s
10_Operational_Incompleteness.md,kappa
10_Operational_Incompleteness.md,mpo_orient_r4
10_Operational_Incompleteness.md,mul
10_Operational_Incompleteness.md,mulLCtx
10_Operational_Incompleteness.md,mulRCtx
10_Operational_Incompleteness.md,mul_s
10_Operational_Incompleteness.md,multiset
10_Operational_Incompleteness.md,normalize
10_Operational_Incompleteness.md,normalizer
10_Operational_Incompleteness.md,recorded
10_Operational_Incompleteness.md,records
10_Operational_Incompleteness.md,wf_base
11_Impossibility_Lemmas.md,app
11_Impossibility_Lemmas.md,delta
11_Impossibility_Lemmas.md,deltaFlagTop
11_Impossibility_Lemmas.md,drop_R_rec_succ
11_Impossibility_Lemmas.md,eqW
11_Impossibility_Lemmas.md,integrate
11_Impossibility_Lemmas.md,kappa
11_Impossibility_Lemmas.md,kappa_plus_k_fails
11_Impossibility_Lemmas.md,merge
11_Impossibility_Lemmas.md,merge_void_raises_flag
11_Impossibility_Lemmas.md,mpo_orient_dup
11_Impossibility_Lemmas.md,multiset
11_Impossibility_Lemmas.md,rec
11_Impossibility_Lemmas.md,rec_succ
11_Impossibility_Lemmas.md,rec_succ_drops
11_Impossibility_Lemmas.md,wf_SafeStepRev
11_Impossibility_Lemmas.md,wf_safe
